keyword,title,authors,keywords_in_description,description,goodreads_url
mental,"X-Men Legacy, Volume 1: Prodigal",Simon Spurrier Tan Eng Huat,,"Legion, the most powerful and unstable mutant in the world, and son to Professor Charles Xavier, has killed gods and reshaped the face of the universe. NOW! in the aftermath of Avengers vs. X-Men, Legion will finally attempt to conquer his demons...and embrace his father's legacy!
Collecting: X-Men Legacy1-6",https://www.goodreads.com/book/show/16002117-x-men-legacy-volume-1
mental,Chasing Shadows,Swati Avasthi Craig Phillips,illness mental,"""A superb novel about grief, friendship, and mental illness, mixing in graphic-novel elements and themes from Hindu mythology."" --Publishers Weekly,Starred
Corey, Holly, and Savitri are closer than family until a random act of violence shatters their world. A gunman shoots at their car, leaving Corey dead, Holly in a coma, and Savitri the sole witness to the crime.
When Holly wakes up, she is changed--determined to hunt down Corey's killer, whatever the cost. Savitri fears that Holly is running wild, losing her grip on reality. Friends should stand by each other in times of crisis. But can you hold on too tight? Too long?
Swati Avasthi delivers a riveting novel that will appeal to fans of Laini Taylor and Laurie Halse Anderson.
""Haunting, mesmerizing and intense."" --Kirkus Reviews,Starred
""[A] visceral story of love, grief, and madness that is both action-packed and psychologically acute."" --The Horn Book
From the Hardcover edition.",https://www.goodreads.com/book/show/23209916-chasing-shadows
mental,"Serenity Rose, Volume 2: Goodbye, Crestfallen!",Aaron Alexovich,,"Serenity ""Sera"" Rose, noted witch, artist, and social-phobic recluse, is conjuring UNSPEAKABLE monsters in her sleep. But it's NOT HER FAULT! She's being hassled by government goons, ogled by a town full of freaked-out tourists, and menaced by a sadistic blond witch who just showed up to make things worse. The stress is just KILLING wee Sera... and if she can't get her head in order, she might just take several thousand people with her.
Serenity Rose: Goodbye, Crestfallen!is book two of the dark horror comedy series by Aaron Alexovich (Fables, Kimmie66, Invader Zim). Originally serialized on the web, this collected edition will be printed in full-color.",https://www.goodreads.com/book/show/7723427-serenity-rose-volume-2
mental,Tyranny,Lesley Fairfield,disorder,"In Tyranny, brisk, spare text and illustrations that deal head-on with anorexia propel the reader along on Anna's journey as she falls prey to the eating disorder, personified as her tormentor, Tyranny.
The novel starts with a single question: ""How did I get here?"" The answer lies in the pages that follow, and it's far from simple. Pressured by media, friends, the workplace, personal relationships, and fashion trends, Anna descends into a seemingly unending cycle of misery. And whenever she tries to climb out of the abyss, her own personal demon, Tyranny, is there to push her back in. The contest seems uneven, and it might be except for one thing: Anna's strength of character has given rise to her deadly enemy. Ironically, it is that same strength of character that has the ultimate power to save her from the ravages of Tyranny.
Brilliantly and realistically presented, Tyrannyis a must-read for anyone looking for a better understanding of eating disorders and for everyone looking for a compelling page-turner that is truly a story of triumph and hope.",https://www.goodreads.com/book/show/6387196-tyranny
mental,"Moon Knight, Volume 2: Midnight Sun",Charlie Huston David Finch Mico Suayan,,"Three months back on the job, and they're already coming out of the woodwork. The bad guys you expect. The gangsters and the hoods with old axes to grind. They all come with the territory. But the heroes - them you don't expect. Popping up to give you the eyeball and make sure you're toeing the line. Their line. Spider-Man... Frank Castle, the angel of death himself...even the fugitive Captain America. And now, this other thing. Someone is out there. Someone hitting the old haunts, scenes of the old crimes. Leaving messages. Leaving bodies. Someone who knows you. Someone who crushes steel and pulls off limbs. All to get your attention. Someone out of your league.
Collecting: Moon Knight7-13",https://www.goodreads.com/book/show/2274096.Moon_Knight_Volume_2
mental,My Friend Dahmer,Derf Backderf,,"You only think you know this story. In 1991, Jeffrey Dahmer--the most notorious serial killer since Jack the Ripper--seared himself into the American consciousness. To the public, Dahmer was a monster who committed unthinkable atrocities. To Derf Backderf, ""Jeff"" was a much more complex figure: a high school friend with whom he had shared classrooms, hallways, and car rides. In My Friend Dahmer, a haunting and original graphic novel, writer-artist Backderf creates a surprisingly sympathetic portrait of a disturbed young man struggling against the morbid urges emanating from the deep recesses of his psyche--a shy kid, a teenage alcoholic, and a goofball who never quite fit in with his classmates. With profound insight, what emerges is a Jeffrey Dahmer that few ever really knew, and one readers will never forget.",https://www.goodreads.com/book/show/13332696-my-friend-dahmer
mental,Nijigahara Holograph,Inio Asano Victor Illera Kanaya,,"Amahiko Suzuki es el protagonista de este oscuro rompecabezas de inquietante fantasia apocaliptica. En torno al malecon de Nijigahara y las vidas cruzadas de una serie de personajes en su infancia y edad adulta se va tejiendo una historia de asesinatos, suicidios, violaciones, acosos, fantasias de monstruos, etc., que, sobre un fondo de densa violencia emocional que lo impregna todo, erige un universo turbio y sordido que se devora a si mismo para regurgitarse y perpetuar el sufrimiento. Las bellas y misteriosas mariposas lucientes, omnipresentes en sus paginas pobladas de vinetas como esquirlas, son el trasunto de la presencia de lo sobrenatural que vela y guia unas vidas que parecen abocadas irremediablemente al dolor y la destruccion. ?Hay lugar para la esperanza en este paramo desolado y sombrio?
""Creo que no podre volver a dibujar nada parecido.""
- Inio Asano
ESTE LIBRO SE EDITA EN SU FORMATO ORIGINAL JAPONES CON SENTIDO DE LECTURA DE DERECHA A IZQUIERDA.",https://www.goodreads.com/book/show/7693838-nijigahara-holograph
mental,Nijigahara Holograph,Inio Asano Matt Thorn,,"Amahiko Suzuki es el protagonista de este oscuro rompecabezas de inquietante fantasia apocaliptica. En torno al malecon de Nijigahara y las vidas cruzadas de una serie de personajes en su infancia y edad adulta se va tejiendo una historia de asesinatos, suicidios, violaciones, acosos, fantasias de monstruos, etc., que, sobre un fondo de densa violencia emocional que lo impregna todo, erige un universo turbio y sordido que se devora a si mismo para regurgitarse y perpetuar el sufrimiento. Las bellas y misteriosas mariposas lucientes, omnipresentes en sus paginas pobladas de vinetas como esquirlas, son el trasunto de la presencia de lo sobrenatural que vela y guia unas vidas que parecen abocadas irremediablemente al dolor y la destruccion. ?Hay lugar para la esperanza en este paramo desolado y sombrio?
""Creo que no podre volver a dibujar nada parecido.""
- Inio Asano
ESTE LIBRO SE EDITA EN SU FORMATO ORIGINAL JAPONES CON SENTIDO DE LECTURA DE DERECHA A IZQUIERDA.",https://www.goodreads.com/book/show/33629525-nijigahara-holograph
mental,"Mother, Come Home",Paul Hornschemeier,,"With his clean, distinctive art style and poignant storytelling, up-and-coming indie comics sensation Paul Hornschemeier has earned comparisons to and accolades from today's top graphic novelists. Mother, Come Home is Hornschemeier's graphic novel debut-the quietly stunning tale of a father and son struggling, by varying degrees of escapism and fantasy, to come to terms with the death of the family's mother. The story seamlessly weaves through the surreal and the painfully factual, guided by the careful, somber colors and inventive pacing unique to Hornschmeier's storytelling. Mother, Come Home extracts almost tangible drama from the most tranquil of moments, making that which is unspoken in each panel easily audible, and almost uncomfortably experienced.",https://www.goodreads.com/book/show/114967.Mother_Come_Home
mental,Swallow Me Whole,Nate Powell,illness disorder,"Swallow Me Wholeis a love story carried by rolling fog, terminal illness, hallucination, apophenia, insect armies, secrets held, unshakeable faith, and the search for a master pattern to make sense of one's unraveling. Two adolescent stepsiblings hold together amidst schizophrenia, obsessive compulsive disorder, family breakdown, animal telepathy, misguided love, and the tiniest nugget of hope that the heart, that sanity, that order itself will take shape again.",https://www.goodreads.com/book/show/2970434-swallow-me-whole
mental,Bastard,Hwang Young Chan Hwang Youngchan Carnby Kim,,"Jin Seong is weak, bullied and practically invisible at school. Because of his particular situation, he is forced to commit murder.",https://www.goodreads.com/book/show/33987008-bastard
mental,L'Apocalypse selon Magda,Chloe Vollmer-Lo Carole Maurel,,"L'apocalypse annoncee il y a un an n'aura finalement pas lieu ! Tandis que l'humanite tout entiere celebre la nouvelle, Magda, 14 ans, est devastee. Pourquoi ? Pour le comprendre, il faut revenir en arriere, a ce jour ou Magda decide qu'elle mourra sans regrets. D'amours maladroites en paradis artificiels, sous le compte a rebours des saisons, la jeune fille se decouvre a elle-meme, dans un monde d'adultes depasses par les evenements.",https://www.goodreads.com/book/show/28889274-l-apocalypse-selon-magda
mental,Deadpool Kills the Marvel Universe #3,Cullen Bunn Dalibor Talajic Lee Loughridge,,Deadpool continues to strike down hero after hero in a post-apocalyptic world!,https://www.goodreads.com/book/show/25776088-deadpool-kills-the-marvel-universe-3
mental,"The Dreaming, Vol. 3",Queenie Chan,,"Where did the ghostly girls come from? And what do they want? Before the students know it, the missing girls enter the school, where Amber spots Millie, who speaks to her almost as if to warn her of something. Is there more to this supernatural mystery than just the school itself? The answers to why these girls have come back and what caused their death are revealed in this haunting series finale.",https://www.goodreads.com/book/show/559756.The_Dreaming_Vol_3
mental,El club de la lucha 2,Chuck Palahniuk,,"Fight Club 2 is avaliable exclusively as a Graphic Novel!
Some imaginary friends never go away . . .
Ten years after starting Project Mayhem, he lives a mundane life. A kid, a wife. Pills to keep his destiny at bay. But it won't last long, the wife has seen to that. He's back where he started, but this go-round he's got more at stake than his own life.The time has arrived . . .Rize or Die.
New York Tomes bestselling novelist Chuck Palahniuk and acclaimed artist Cameron Stewart have collaborated for one of the most highly anticipated comic book and literary events of 2015--the return of Tyler Durden. The first rule of Fight Club 2 might be not to talk about it, but Fight Club 2 is generating international headlines and will introduce a new generation of readers to Project Mayhem.
Praise for the comics that comprise Fight Club 2:
""At turns deeply poignant and very funny, Palahniuk's freakish fables capture a twisted zeitgeist and add an oddly inspirational and subversive voice to the contemporary canon.... In the post-9/11 present, a hyperactive, Internet-obsessed, war- and recession-weary America apparently needs Tyler again.""--THE ATLANTIC
""The book is fantastic, my highest recommendation.... Excellent work by Cameron Stewart and David Mack, and by our awesome friends at Dark Horse Comics.""--Brian Michael Bendis
""If Tyler Durden needed a resurgence, there's no time like the present for his return... Fight Club 2 is a comic that taps back into everything great about the source material, and one that makes Tyler Durden's warm nihilistic embrace a welcome draw back into a familiar world of cynicism, violence, and anarchy....""Tyler Lives,"" and I couldn't be happier by the prospect of more bedlam.""--NEWSARAMA
""Palahniuk is delivering a worthy sequel to his most beloved story.""--THE NERDIST
""Entertaining.""--COMIC BOOK RESOURCES
""Excellent.""--THE BEAT
""An amazing piece of work. You do not want to miss out on this.""--COMICVINE
""Perfect.""--FORCES OF GEEK
""We have a worthy sequel on our hands....A must read.""--COMICOSITY
""Cameron Stewart truly outdoes himself on every level in this book.""--BLOODY DISGUSTING
""Clever and beautiful.""--COMICS ALLIANCE",https://www.goodreads.com/book/show/31279606-el-club-de-la-lucha-2
mental,"Moon Knight, Volume 3: Birth and Death",Jeff Lemire Greg Smallwood,,"The secret history of the man behind Moon Knight's mask! Marc Spector was born in Chicago - but where was his alter ego Steven Grant born? A story of birth, death and rebirth digs deep into Spector's past -and redefines the history of Moon Knight as you know it! Trapped outside of reality, his survival depends on answers -but Spector is plagued by nothing but questions! Is Moon Knight stronger alone, or more vulnerable? Where has he really been all this time? Where was a man like Marc Spector forged? And where will he face his final battle? The answers are here!
COLLECTING:MOON KNIGHT 10-14",https://www.goodreads.com/book/show/34671882-birth-and-death
mental,Slayers Super-Explosive Demon Story Volume 1: Legend of Darkness,Hajime Kanzaka Shoko Yoshinaka,,,https://www.goodreads.com/book/show/1855182.Slayers_Super_Explosive_Demon_Story_Volume_1
mental,How I Made It to Eighteen: A Mostly True Story,Tracy  White,mental depression anxiety,"How do you know if you're on the verge of a nervous breakdown? For seventeen-year-old Stacy Black, it all begins with the smashing of a window. After putting her fist through the glass, she checks into a mental hospital. Stacy hates it there but despite herself slowly realizes she has to face the reasons for her depression to stop from self-destructing. Based on the author's experiences, How I Made it to Eighteen is a frank portrait of what it's like to struggle with self-esteem, body image issues, drug addiction, and anxiety.",https://www.goodreads.com/book/show/7260186-how-i-made-it-to-eighteen
mental,Hysteria,Richard Appignanesi Oscar Zarate,,"Hysteriais a graphic novel account of the first steps, errors, and frustrations of Sigmund Freud's career, which would lead to the foundation of a revolutionary new clinical therapy: psychoanalysis. The book traces Freud's early training in neurological research and medicine; the crucial turning-point of his studies with Jean-Martin Charcot at La Salpetriere; and his establishment of a therapeutic practice in Vienna.
Perfectly matching text and illustrations, Hysteriarecounts Freud's interest in his colleague Josef Breuer's ""Anna O"" case study, as well as giving an account of his own case histories of hysteria, particularly the treatment of Fraulein Elisabeth von R. The studies brought to life in this authoritative, beautifully illustrated graphic novel are collected in Freud and Breuer's co-authored Studies in Hysteria, which marked the birth of psychoanalysis.",https://www.goodreads.com/book/show/24886279-hysteria
mental,Inside Out: Portrait of an Eating Disorder,Nadia Shivack,disorder,"""Every day, meal by meal, millions of people suffer from eating disorders. I am one of them.""
Nadia Shivack was fourteen years old when she met Ed, her eating disorder. Sometimes like an alien in her body, sometimes like a lover, Ed was unpredictable and exciting, but ultimately always dangerous and destructive.
At an inpatient unit unit of a hospital where she was taken for treatment, Nadia wrote and drew on napkins after meals in order to keep the food in and calm the outrageous voices in her head. These pictures, together with others drawn on notebook paper and a variety of other surfaces, tell an unflinchingly honest story of a woman's lifelong battle with anorexia and bulimia. Raw, brave, and brilliant, Nadia's journey takes readers to the intimate corners of these misunderstood diseases. You will never think about eating disorders in the same way again.",https://www.goodreads.com/book/show/923558.Inside_Out
mental,Asilo Arkham: una casa seria sobre una Tierra seria,Grant Morrison Dave McKean Jesus Gil Holguin,,"En 1920, despues de la muerte de su madre desquiciada, el brillante psiquiatra Amadeus Arkham empezo a convertir su casa ancestral en un hospital para el tratamiento de enfermosmentales. No sospechaba que habia puesto en movimiento una cadena de eventos de pesadilla, de graves consecuencias.
Mas de medio siglo despues, el Asilo Arkham para Criminales Dementes es un lugar de corredores tenebrosos y sombras opresivas. Una casa salida de un mal sueno. Un acertijo de piedra y madera, que siempre ha estado sin resolver. Durante anos, los enemigos de Batman, dementes y deformes, han estado prisioneros de estos muros claustrofobicos. En celdas acolchonadas y sotanos oscuros se han cobijado y hecho planes mientras suenan con el dia en que se han de levantar para dominar al mundo de la razon.
Ese dia ha llegado.
Es el primero de abril, y los lunaticos se han apoderado del asilo. Guiados por Joker, lanzan un reto terrible contra el unico hombre responsable del cautiverio de todos ellos: Batman.
En una competencia martirizante de astucia contra sus peores enemigos, Batman debe descender hasta el corazon de la oscuridad, enfrentar sus mayores miedos y aprender la verdad de su propia experiencia... o sufrir por la demencia de los demas.",https://www.goodreads.com/book/show/10242581-asilo-arkham
mental,"Apollo's Song, Part One",Osamu Tezuka,,"Apollo's Song follows the tragic journey of Shogo, a young man whose abusive childhood has instilled in him a loathing for love so profound he finds himself compelled to acts of violence when he is witness to any act of intimacy or affection whether by human or beast. His hate is such that the gods intervene, cursing Shogo to experience love throughout the ages ultimately to have it ripped from his heart every time. From the Nazi atrocities of World War II to a dystopian future of human cloning, Shogo loses his heart, in so doing, healing the psychological scars of his childhood hatred.
Master storyteller Osamu Tezuka's Apollo's Song is a lyrical tour-de-force on the human spirit, the destruction of hate, and the triumph of love.",https://www.goodreads.com/book/show/9251723-apollo-s-song-part-one
mental,Il Gatto Sul G 1,Tooko Miyagi,mental disorder,"by Tooko Miyagi
Riya Narukawa is a high school freshman with a tremendous talent for the violin, and an equally large bag on mental issues. He seems to have a split personality. After injuring his own hand to compromise his playing ability, he winds up on the doorstep of college student Atsuchi Ikeda. Atsushi's a nice guy, maybe too nice and generous. He takes Riya in for the night and help him with his hand injury. Atsushi learns there is much more to Riya than in on the surface, and learns just how difficult Riya's life actually is. Not only does he have a personality disorder, but there's an aggressive senior his school who has his eye on him. Atsushi becomes a sort of safe haven for Riyam an escape from the life of music he's bound to.",https://www.goodreads.com/book/show/1203121.Il_Gatto_Sul_G_1
mental,"Marbles: Mania, Depression, Michelangelo and Me",Ellen Forney,mental disorder,"Shortly before her thirtieth birthday, Forney was diagnosed with bipolar disorder. Suffering from (but enjoying) extreme mania, and terrified that medication would cause her to lose creativity, she began a long struggle over many years to find mental stability while retaining her creativity.
Searching to make sense of the popular idea of the 'crazy artist', she finds inspiration from the lives and work of other artists and writers who suffered from mood disorders, including Vincent van Gogh, Georgia O'Keeffe, William Styron, and Sylvia Plath. She also researches the clinical aspects of bipolar disorder, including the strengths and limitations of various treatments and medications, and what studies tell us about the conundrum of attempting to ""cure"" an otherwise brilliant mind.
Darkly funny and intensely personal, Forney's memoir provides a humorous but authentic glimpse into the effects of a mood disorder on an artist's work, as she shares her own story through black-and-white graphic images and prose.",https://www.goodreads.com/book/show/18685078-marbles
mental,The Great Antonio: TOON Level 2,Elise Gravel,,"What made the Great Antonio so great? He weighed as much as a horse! He once wrestled a bear. He could devour twenty-five roasted chickens at one sitting. In this whimsical book, beloved author and illustrator Elise Gravel tells the true story of Antonio Barichievich, the larger-than-life Montreal strongman who had muscles as big as his heart.",https://www.goodreads.com/book/show/29363373-the-great-antonio
mental,"Alice Cooper Vol. 1: Welcome to My Nightmare (Alice Cooper, #1-6)",Joe Harris Brandon Jerwa Eman Casallos Nacho Tenorio,,"Rock n' roll legend Alice Cooper has never been a stranger to the mystic and the macabre. His stage shows were the stuff of legend, featuring snakes and pyrotechnics, the invocation of dark themes and darker forces. But while he was a legend in the waking world, few knew his service as ""The Lord of Nightmares"" beyond it, where he watched over us while we dreamed, and delivered horrors unto the deserving. Only someone took it all away from him, cast him out of his realm, and locked him away. No longer enslaved to the Clan Black, Alice Cooper will reclaim his dark throne at all costs. All hail the Godfather of Shock Rock! This mind-bending collection includes the complete six-issue Dynamite comic book series, plus Alice Cooper's first-ever comic book appearance from Marvel Premiere #50, featuring the creative talents of Alice Cooper, Jim Salicrup, Roger L. Stern, Ed J. Hannigan, and Tom F. Sutton, fully remastered!",https://www.goodreads.com/book/show/26015994-alice-cooper-vol-1
mental,Nylon Road: La vida en Irán,Parsua Bashi,,"""Recorde toda mi vida en cuestion de segundos: me habia separado de mi pasado.""
En nuestras vidas, somos muchas cosas. Crecemos, cambiamos, evolucionamos. Y no es hasta que somos mayores y miramos el camino hecho que no nos damos cuenta de todo lo que nos ha pasado.
Parsua Bashi nos abre su corazon en esta delicada pero desgarradora obra. En ella nos cuenta como fue una joven simpatizante comunista, una estudiante de arte, una mujer divorciada, una madre que debe renunciar a su hija... En Nylon Road, Parsua Bashi se nos muestra tal y como es, pero sobre todo, tal y como ha sido. Un viaje de ida y vuelta al pasado que nos ayudara a entender el presente para hacer un futuro mejor.",https://www.goodreads.com/book/show/18047464-nylon-road
mental,condizioni,Nate Powell Micol Beltramini,,"Potremmo quasi definirlo un fumetto ""muto"", se non fosse che, di quando in quando, appaiono racconti (di solito brevi) ricchi di dialoghi. Questa raccolta di racconti rientra perfettamente nella collana ""Psychopop"" promossa da Edizioni BD come ""contenitore di storie 'reali' e pregne di significati psicologici"": il tratto marcato, la scelta accurata delle ombre e dei chiaroscuri, l'impostazione non proprio canonica, a volte, delle tavole, lo stesso stile narrativo, che in alcuni casi e portato avanti da una interminabile sequenza di dialoghi, in altri da un susseguirsi di vignette ""mute"" e, infine, molto spesso, da un'unica, enorme tavola, che con la sua ricchezza di particolari racconta, da se, una storia in tutto e per tutto, fanno apparire questa raccolta come il taccuino di un sapiente psichiatra che ha raccolto, anno dopo anno, meticolosamente, le impressioni, le sensazioni, le voci urlanti, gli sguardi perduti, le allucinazioni e i flash a volte luminosi, altre sbiaditi, delle vite dei suoi pazienti, riuscendo a ricostruire piu che un quadro clinico, la complessa anatomia mentale di coloro che prendevano posto sul suo lettino e iniziavano a parlare. Un particolare degno di nota e proprio lo stile narrativo quando esso non sia accompagnato da dialoghi: in questi racconti muti, lo scrosciare dell'acqua, il tintinnio di due pezzi metallici, il sospiro di una ragazza, il rumore in lontananza di un'autocisterna che si allontana nella notte, il latrato di un cane alla luna sono tutti suoni che compaiono, da se, nella testa del lettore, mentre il suo occhio scorre le pagine che compongo il racconto, e riescono a comunicare molto piu di quanto migliaia di parole potrebbero fare.",https://www.goodreads.com/book/show/22369577-condizioni
